,hit,corr,containment,score,rerank_score
407,TPMT,-0.180208,1.0,60.0,408.0
408,TRA2A,0.233232,1.0,60.0,409.0
409,TRIM65,-0.189253,1.0,60.0,410.0
410,TRRAP,0.154356,1.0,60.0,411.0
411,TUBB3,0.344857,1.0,60.0,412.0
412,UBE2F,-0.157246,1.0,60.0,413.0
413,WDFY4,-0.278955,1.0,60.0,414.0
414,WDSUB1,-0.272578,1.0,60.0,415.0
415,ZMYM1,-0.078443,1.0,60.0,416.0
416,ZMYM2,0.253071,1.0,60.0,417.0
417,ZNF280C,0.224715,1.0,60.0,418.0
418,ABHD11,-0.320838,1.0,59.0,419.0
419,ABHD14B,-0.139133,1.0,59.0,420.0
420,ACAP1,-0.282882,1.0,59.0,421.0
421,ACOX1,0.373802,1.0,59.0,422.0
422,ACSM3,-0.142177,1.0,59.0,423.0
423,ADA,-0.335822,1.0,59.0,424.0
424,AGFG2,-0.138939,1.0,59.0,425.0
425,AHCYL1,-0.25967,1.0,59.0,426.0
426,AIF1,-0.297804,1.0,59.0,427.0
427,ALOX5,-0.259583,1.0,59.0,428.0
428,ANO1,0.184353,1.0,59.0,429.0
429,ANXA11,-0.299459,1.0,59.0,430.0
430,APIP,0.274628,1.0,59.0,431.0
431,APOBEC3G,-0.315241,1.0,59.0,432.0
432,ARFGAP3,0.206265,1.0,59.0,433.0
433,ARHGAP15,-0.391141,0.950355,59.0,434.0
434,ARHGAP9,-0.299205,1.0,59.0,435.0
435,ARHGEF3,0.111179,1.0,59.0,436.0
436,ARPC5,-0.267968,1.0,59.0,437.0
437,ATRX,0.220999,1.0,59.0,438.0
438,BAG4,-0.131865,1.0,59.0,439.0
439,BBS4,0.175823,1.0,59.0,440.0
440,C11orf54,-0.161695,1.0,59.0,441.0
441,C19orf33,-0.256004,1.0,59.0,442.0
442,CA8,0.282892,1.0,59.0,443.0
443,CAPZB,-0.146927,1.0,59.0,444.0
444,CCDC97,-0.169311,1.0,59.0,445.0
445,CCM2,-0.072341,1.0,59.0,446.0
446,CD63,0.271236,1.0,59.0,447.0
447,CEMIP,0.49035,0.9304,59.0,448.0
448,CGN,-0.281457,1.0,59.0,449.0
449,CLINT1,-0.260503,1.0,59.0,450.0
450,CNOT11,0.114093,1.0,59.0,451.0
451,COMMD7,-0.282542,1.0,59.0,452.0
452,CORO1A,-0.295561,1.0,59.0,453.0
453,CUL4B,0.099351,1.0,59.0,454.0
454,CYP2S1,-0.306585,1.0,59.0,455.0
455,DHX29,0.175983,1.0,59.0,456.0
456,DIS3L,-0.114257,1.0,59.0,457.0
457,DNTTIP1,-0.221193,1.0,59.0,458.0
458,DOCK11,0.340722,1.0,59.0,459.0
459,DOK2,-0.361019,1.0,59.0,460.0
460,DPY19L1,0.305116,1.0,59.0,461.0
461,ECH1,-0.260496,1.0,59.0,462.0
462,EEF2K,-0.292103,1.0,59.0,463.0
463,EFCAB14,0.360482,1.0,59.0,464.0
464,EOGT,0.303774,1.0,59.0,465.0
465,EPB41L3,-0.256097,1.0,59.0,466.0
466,EPS8L1,-0.311094,1.0,59.0,467.0
467,ERC1,-0.166897,1.0,59.0,468.0
468,ERP44,0.231818,1.0,59.0,469.0
469,FERMT1,0.314099,1.0,59.0,470.0
470,FLII,-0.259241,1.0,59.0,471.0
471,FNDC3B,0.134199,1.0,59.0,472.0
472,GIMAP1-GIMAP5,-0.208033,1.0,59.0,473.0
473,GMIP,-0.24458,1.0,59.0,474.0
474,GNL3L,0.22733,1.0,59.0,475.0
475,GNPAT,0.195063,1.0,59.0,476.0
476,GSDMD,-0.305282,1.0,59.0,477.0
477,GTF3C1,0.22841,1.0,59.0,478.0
478,HBB,0.111075,1.0,59.0,479.0
479,HCFC2,-0.194615,1.0,59.0,480.0
480,HDDC2,0.163812,1.0,59.0,481.0
481,HERC5,-0.290402,1.0,59.0,482.0
482,HIRIP3,-0.194028,1.0,59.0,483.0
483,HLA-DPA1,0.122864,1.0,59.0,484.0
484,HNRNPR,0.260891,1.0,59.0,485.0
485,HUWE1,0.224641,1.0,59.0,486.0
486,ISG20,-0.26679,1.0,59.0,487.0
487,ITCH,-0.289827,1.0,59.0,488.0
488,ITPR3,0.199392,1.0,59.0,489.0
489,KANK4,0.318575,1.0,59.0,490.0
490,KIAA1217,0.356116,1.0,59.0,491.0
491,KLC4,0.214784,1.0,59.0,492.0
492,KPNA4,-0.223125,1.0,59.0,493.0
493,MAN2A1,0.270589,1.0,59.0,494.0
494,MAP4K3,0.168836,1.0,59.0,495.0
495,MCTS1,0.148475,1.0,59.0,496.0
496,MIA3,0.294217,1.0,59.0,497.0
497,MICAL3,0.215122,1.0,59.0,498.0
498,MLEC,0.269337,1.0,59.0,499.0
499,MYEF2,0.361366,1.0,59.0,500.0
